"","V1","V2","V3"
"1",620,589,723
"2",144,663,876
"3",1139,723,967
"4",723,4473,620
"5",750,965,589
"6",4255,4256,573
"7",608,750,724
"8",680,659,325
"9",963,4522,962
"10",739,853,851
"11",960,962,584
"12",960,584,958
"13",569,1262,1263
"14",967,723,589
"15",4499,4501,4502
"16",589,724,750
"17",741,740,144
"18",4255,972,4777
"19",4116,4328,550
"20",4257,4259,971
"21",4115,528,4114
"22",550,4254,4252
"23",4329,528,4330
"24",681,299,677
"25",4337,3971,3973
"26",702,703,695
"27",1265,4261,4262
"28",970,972,4255
"29",3830,3831,4120
"30",3966,3960,3964
"31",4112,4109,4111
"32",3972,528,4249
"33",3968,516,3969
"34",4113,4321,498
"35",518,3964,3960
"36",3969,516,3971
"37",973,972,4547
"38",4324,4325,498
"39",1264,1446,1448
"40",299,675,676
"41",661,594,4491
"42",663,740,623
"43",4755,4750,3673
"44",621,661,4491
"45",594,868,3519
"46",3509,3828,3830
"47",641,866,661
"48",4491,4494,4497
"49",4482,4481,592
"50",760,736,767
"51",3516,869,3514
"52",661,866,594
"53",2923,2922,2786
"54",3515,580,3514
"55",2921,2922,649
"56",592,4481,609
"57",828,737,826
"58",557,3365,3202
"59",525,3824,3821
"60",3824,3826,3821
"61",3654,3659,3648
"62",3823,3824,3825
"63",521,3646,3651
"64",4404,4454,475
"65",3665,3359,521
"66",3963,518,3959
"67",3199,3200,557
"68",3366,3367,3365
"69",3197,3199,2918
"70",3361,3364,3362
"71",3072,3197,3198
"72",3211,535,2938
"73",2916,2796,3071
"74",3820,3822,3652
"75",2770,2918,3073
"76",3666,3508,3668
"77",3670,3361,3509
"78",519,3080,3205
"79",4486,578,4487
"80",4120,4121,3978
"81",738,859,861
"82",4247,4248,4108
"83",4445,4443,4446
"84",504,4331,4335
"85",4437,453,4438
"86",4446,4451,4464
"87",4452,429,4312
"88",622,700,694
"89",4326,4448,4323
"90",686,697,595
"91",4348,4410,4411
"92",4108,4316,500
"93",456,4344,4409
"94",4441,4347,4434
"95",4414,4412,4800
"96",4346,4088,4775
"97",4268,451,4410
"98",4440,4444,4442
"99",4319,4111,500
