"","x","y"
"22x9_1",22,-9
"11x9_1",11,-9
"19x9_1",19,-9
"18x9_1",18,-9
"21x9_1",21,-9
"23x9_1",23,-9
"14x9_1",14,-9
"17x9_1",17,-9
"24x9_1",24,-9
"15x9_1",15,-9
"12x9_1",12,-9
"13x9_1",13,-9
"20x9_1",20,-9
"16x9_1",16,-9
"22x10_1",22,-10
"31x10_1",31,-10
"20x10_1",20,-10
"11x10_1",11,-10
"21x10_1",21,-10
"29x10_1",29,-10
"17x10_1",17,-10
"19x10_1",19,-10
"27x10_1",27,-10
"28x10_1",28,-10
"16x10_1",16,-10
"24x10_1",24,-10
"18x10_1",18,-10
"26x10_1",26,-10
"8x10_1",8,-10
"9x10_1",9,-10
"15x10_1",15,-10
"10x10_1",10,-10
"7x10_1",7,-10
"6x10_1",6,-10
"12x10_1",12,-10
"14x10_1",14,-10
"25x10_1",25,-10
"23x10_1",23,-10
"13x10_1",13,-10
"22x11_1",22,-11
"32x11_1",32,-11
"21x11_1",21,-11
"31x11_1",31,-11
"27x11_1",27,-11
"29x11_1",29,-11
"28x11_1",28,-11
"6x11_1",6,-11
"30x11_1",30,-11
"7x11_1",7,-11
"8x11_1",8,-11
"9x11_1",9,-11
"16x11_1",16,-11
"20x11_1",20,-11
"18x11_1",18,-11
"26x11_1",26,-11
"10x11_1",10,-11
"17x11_1",17,-11
"19x11_1",19,-11
"25x11_1",25,-11
"24x11_1",24,-11
"23x11_1",23,-11
"15x11_1",15,-11
"12x11_1",12,-11
"13x11_1",13,-11
"14x11_1",14,-11
"31x12_1",31,-12
"22x12_1",22,-12
"27x12_1",27,-12
"11x12_1",11,-12
"18x12_1",18,-12
"29x12_1",29,-12
"20x12_1",20,-12
"21x12_1",21,-12
"28x12_1",28,-12
"30x12_1",30,-12
"9x12_1",9,-12
"25x12_1",25,-12
"16x12_1",16,-12
"26x12_1",26,-12
"10x12_1",10,-12
"19x12_1",19,-12
"17x12_1",17,-12
"8x12_1",8,-12
"12x12_1",12,-12
"6x12_1",6,-12
"24x12_1",24,-12
"7x12_1",7,-12
"14x12_1",14,-12
"23x12_1",23,-12
"15x12_1",15,-12
"13x12_1",13,-12
"22x13_1",22,-13
"29x13_1",29,-13
"30x13_1",30,-13
"11x13_1",11,-13
"31x13_1",31,-13
"20x13_1",20,-13
"21x13_1",21,-13
"28x13_1",28,-13
"16x13_1",16,-13
"10x13_1",10,-13
"25x13_1",25,-13
"26x13_1",26,-13
"19x13_1",19,-13
"9x13_1",9,-13
"8x13_1",8,-13
"15x13_1",15,-13
"17x13_1",17,-13
"18x13_1",18,-13
"6x13_1",6,-13
"23x13_1",23,-13
"24x13_1",24,-13
"14x13_1",14,-13
"12x13_1",12,-13
"7x13_1",7,-13
"13x13_1",13,-13
"19x14_1",19,-14
"31x14_1",31,-14
"20x14_1",20,-14
"30x14_1",30,-14
"27x14_1",27,-14
"28x14_1",28,-14
"9x14_1",9,-14
"26x14_1",26,-14
"11x14_1",11,-14
"18x14_1",18,-14
"25x14_1",25,-14
"5x14_1",5,-14
"10x14_1",10,-14
"14x14_1",14,-14
"29x14_1",29,-14
"6x14_1",6,-14
"8x14_1",8,-14
"17x14_1",17,-14
"23x14_1",23,-14
"12x14_1",12,-14
"24x14_1",24,-14
"7x14_1",7,-14
"15x14_1",15,-14
"13x14_1",13,-14
"21x14_1",21,-14
"16x14_1",16,-14
"30x15_1",30,-15
"31x15_1",31,-15
"22x15_1",22,-15
"11x15_1",11,-15
"29x15_1",29,-15
"19x15_1",19,-15
"27x15_1",27,-15
"18x15_1",18,-15
"23x15_1",23,-15
"25x15_1",25,-15
"9x15_1",9,-15
"21x15_1",21,-15
"8x15_1",8,-15
"16x15_1",16,-15
"20x15_1",20,-15
"17x15_1",17,-15
"26x15_1",26,-15
"10x15_1",10,-15
"24x15_1",24,-15
"14x15_1",14,-15
"15x15_1",15,-15
"6x15_1",6,-15
"7x15_1",7,-15
"12x15_1",12,-15
"13x15_1",13,-15
"22x16_1",22,-16
"31x16_1",31,-16
"20x16_1",20,-16
"11x16_1",11,-16
"19x16_1",19,-16
"21x16_1",21,-16
"27x16_1",27,-16
"30x16_1",30,-16
"16x16_1",16,-16
"26x16_1",26,-16
"28x16_1",28,-16
"29x16_1",29,-16
"10x16_1",10,-16
"9x16_1",9,-16
"18x16_1",18,-16
"25x16_1",25,-16
"15x16_1",15,-16
"8x16_1",8,-16
"14x16_1",14,-16
"12x16_1",12,-16
"17x16_1",17,-16
"23x16_1",23,-16
"5x16_1",5,-16
"6x16_1",6,-16
"7x16_1",7,-16
"24x16_1",24,-16
"13x16_1",13,-16
"31x17_1",31,-17
"22x17_1",22,-17
"30x17_1",30,-17
"11x17_1",11,-17
"29x17_1",29,-17
"20x17_1",20,-17
"16x17_1",16,-17
"19x17_1",19,-17
"25x17_1",25,-17
"27x17_1",27,-17
"28x17_1",28,-17
"21x17_1",21,-17
"26x17_1",26,-17
"9x17_1",9,-17
"8x17_1",8,-17
"10x17_1",10,-17
"23x17_1",23,-17
"5x17_1",5,-17
"15x17_1",15,-17
"18x17_1",18,-17
"17x17_1",17,-17
"24x17_1",24,-17
"14x17_1",14,-17
"7x17_1",7,-17
"12x17_1",12,-17
"13x17_1",13,-17
"6x17_1",6,-17
"22x18_1",22,-18
"11x18_1",11,-18
"21x18_1",21,-18
"9x18_1",9,-18
"20x18_1",20,-18
"29x18_1",29,-18
"28x18_1",28,-18
"10x18_1",10,-18
"27x18_1",27,-18
"19x18_1",19,-18
"15x18_1",15,-18
"17x18_1",17,-18
"30x18_1",30,-18
"16x18_1",16,-18
"14x18_1",14,-18
"8x18_1",8,-18
"25x18_1",25,-18
"26x18_1",26,-18
"23x18_1",23,-18
"12x18_1",12,-18
"7x18_1",7,-18
"13x18_1",13,-18
"24x18_1",24,-18
"6x18_1",6,-18
"5x18_1",5,-18
"22x19_1",22,-19
"11x19_1",11,-19
"5x19_1",5,-19
"20x19_1",20,-19
"21x19_1",21,-19
"29x19_1",29,-19
"27x19_1",27,-19
"30x19_1",30,-19
"9x19_1",9,-19
"17x19_1",17,-19
"19x19_1",19,-19
"18x19_1",18,-19
"28x19_1",28,-19
"26x19_1",26,-19
"10x19_1",10,-19
"16x19_1",16,-19
"8x19_1",8,-19
"15x19_1",15,-19
"25x19_1",25,-19
"23x19_1",23,-19
"6x19_1",6,-19
"7x19_1",7,-19
"24x19_1",24,-19
"12x19_1",12,-19
"13x19_1",13,-19
"14x19_1",14,-19
"20x20_1",20,-20
"22x20_1",22,-20
"30x20_1",30,-20
"21x20_1",21,-20
"29x20_1",29,-20
"19x20_1",19,-20
"11x20_1",11,-20
"28x20_1",28,-20
"16x20_1",16,-20
"27x20_1",27,-20
"26x20_1",26,-20
"17x20_1",17,-20
"18x20_1",18,-20
"8x20_1",8,-20
"10x20_1",10,-20
"25x20_1",25,-20
"7x20_1",7,-20
"24x20_1",24,-20
"9x20_1",9,-20
"15x20_1",15,-20
"6x20_1",6,-20
"12x20_1",12,-20
